norsk,cat,navn
myrklokkehatt,LC,"404318"
fagerbrunpigg,LC,"406321"
rødgul piggsopp,LC,"406321"
gulkantmusserong,LC,"406321"
grå traktsopp,LC,"406321"
granrotkjuke,LC,"406321"
mørk vorterøyksopp,LC,"403318"
stubberusthette,LC,"406321"
melkehette,LC,"406321"
giftkremle,LC,"406321"
spiss jodslørsopp,LC,"404318"
NA,LC,"404318"
rosa sleipsopp,LC,"404318"
franskbrødsopp,LC,"404318"
broddtorvmose,LC,"404311"
lakssopp,LC,"406321"
rødbrun høstlibelle,LC,"406321"
trollsmør,LC,"404318"
jodslørsopp,LC,"404318"
grønnsko,NT,"412316"
dråpemusserong,LC,"406321"
rød stubbemusserong,LC,"406321"
spiss giftslørsopp,LC,"406321"
barlind,VU,"410325"
myrreddiksopp,LC,"404318"
grasmose,LC,"404311"
NA,LC,"406321"
mørkprikket vokssopp,LC,"406321"
mørk kanelslørsopp,LC,"404318"
skartorvmose,LC,"404311"
duftslørsopp,LC,"406321"
røykkremle,LC,"404318"
mandelkremle,LC,"404318"
seig kusopp,LC,"404318"
trollbær,LC,"410323"
gult dvergbeger,LC,"406321"
okerrødspore,LC,"406321"
oliven myrslørsopp,LC,"404318"
kjeglesvovelsopp,LC,"406321"
myske,LC,"410323"
barlind,VU,"410323"
duftriske,LC,"406321"
lurvtorvmose,LC,"404311"
klubbetorvmose,LC,"404311"
furutorvmose,LC,"403318"
pelargoniumslørsopp,LC,"406321"
mandelkremle,LC,"406321"
stjernesporet rødspore,LC,"406321"
flåhette,LC,"406321"
såpemusserong,LC,"406321"
rødbelteslørsopp,LC,"406321"
oransjeslørsopp,LC,"404318"
brun kamfluesopp,LC,"406321"
ametystsopp,LC,"406321"
sangsvane,LC,"403315"
